"","업종","month","sales"
"1","유아복","X2015.01",185
"2","아동복","X2015.01",400
"3","남성정장","X2015.01",1122
"4","여성정장","X2015.01",1141
"5","내의","X2015.01",968
"6","한복점","X2015.01",125
"7","캐쥬얼","X2015.01",554
"8","기능복","X2015.01",102
"9","가죽및모피의류","X2015.01",256
"10","세탁소","X2015.01",38
"11","옷감/직물","X2015.01",254
"12","악세서리","X2015.01",230
"13","유아복","X2015.02",197
"14","아동복","X2015.02",399
"15","남성정장","X2015.02",934
"16","여성정장","X2015.02",1079
"17","내의","X2015.02",905
"18","한복점","X2015.02",137
"19","캐쥬얼","X2015.02",500
"20","기능복","X2015.02",1047
"21","가죽및모피의류","X2015.02",215
"22","세탁소","X2015.02",33
"23","옷감/직물","X2015.02",209
"24","악세서리","X2015.02",261
"25","유아복","X2015.03",183
"26","아동복","X2015.03",532
"27","남성정장","X2015.03",1154
"28","여성정장","X2015.03",1313
"29","내의","X2015.03",1125
"30","한복점","X2015.03",166
"31","캐쥬얼","X2015.03",577
"32","기능복","X2015.03",146
"33","가죽및모피의류","X2015.03",79
"34","세탁소","X2015.03",61
"35","옷감/직물","X2015.03",281
"36","악세서리","X2015.03",288
"37","유아복","X2015.04",196
"38","아동복","X2015.04",455
"39","남성정장","X2015.04",1523
"40","여성정장","X2015.04",1381
"41","내의","X2015.04",1122
"42","한복점","X2015.04",154
"43","캐쥬얼","X2015.04",599
"44","기능복","X2015.04",198
"45","가죽및모피의류","X2015.04",47
"46","세탁소","X2015.04",100
"47","옷감/직물","X2015.04",276
"48","악세서리","X2015.04",286
"49","유아복","X2015.05",205
"50","아동복","X2015.05",543
"51","남성정장","X2015.05",1705
"52","여성정장","X2015.05",1497
"53","내의","X2015.05",1298
"54","한복점","X2015.05",139
"55","캐쥬얼","X2015.05",670
"56","기능복","X2015.05",659
"57","가죽및모피의류","X2015.05",48
"58","세탁소","X2015.05",85
"59","옷감/직물","X2015.05",245
"60","악세서리","X2015.05",328
"61","유아복","X2015.06",153
"62","아동복","X2015.06",363
"63","남성정장","X2015.06",1089
"64","여성정장","X2015.06",1011
"65","내의","X2015.06",968
"66","한복점","X2015.06",97
"67","캐쥬얼","X2015.06",453
"68","기능복","X2015.06",51
"69","가죽및모피의류","X2015.06",73
"70","세탁소","X2015.06",61
"71","옷감/직물","X2015.06",218
"72","악세서리","X2015.06",267
"73","유아복","X2015.07",149
"74","아동복","X2015.07",285
"75","남성정장","X2015.07",989
"76","여성정장","X2015.07",919
"77","내의","X2015.07",937
"78","한복점","X2015.07",113
"79","캐쥬얼","X2015.07",391
"80","기능복","X2015.07",22
"81","가죽및모피의류","X2015.07",35
"82","세탁소","X2015.07",32
"83","옷감/직물","X2015.07",218
"84","악세서리","X2015.07",288
"85","유아복","X2015.08",166
"86","아동복","X2015.08",204
"87","남성정장","X2015.08",572
"88","여성정장","X2015.08",694
"89","내의","X2015.08",817
"90","한복점","X2015.08",130
"91","캐쥬얼","X2015.08",321
"92","기능복","X2015.08",43
"93","가죽및모피의류","X2015.08",121
"94","세탁소","X2015.08",28
"95","옷감/직물","X2015.08",223
"96","악세서리","X2015.08",270
"97","유아복","X2015.09",207
"98","아동복","X2015.09",652
"99","남성정장","X2015.09",1153
"100","여성정장","X2015.09",1107
"101","내의","X2015.09",1025
"102","한복점","X2015.09",191
"103","캐쥬얼","X2015.09",483
"104","기능복","X2015.09",116
"105","가죽및모피의류","X2015.09",82
"106","세탁소","X2015.09",36
"107","옷감/직물","X2015.09",281
"108","악세서리","X2015.09",289
"109","유아복","X2015.1",194
"110","아동복","X2015.1",452
"111","남성정장","X2015.1",1239
"112","여성정장","X2015.1",1069
"113","내의","X2015.1",1167
"114","한복점","X2015.1",157
"115","캐쥬얼","X2015.1",528
"116","기능복","X2015.1",64
"117","가죽및모피의류","X2015.1",138
"118","세탁소","X2015.1",36
"119","옷감/직물","X2015.1",244
"120","악세서리","X2015.1",275
"121","유아복","X2015.11",193
"122","아동복","X2015.11",516
"123","남성정장","X2015.11",1618
"124","여성정장","X2015.11",1521
"125","내의","X2015.11",1307
"126","한복점","X2015.11",151
"127","캐쥬얼","X2015.11",637
"128","기능복","X2015.11",78
"129","가죽및모피의류","X2015.11",173
"130","세탁소","X2015.11",51
"131","옷감/직물","X2015.11",291
"132","악세서리","X2015.11",279
"133","유아복","X2015.12",176
"134","아동복","X2015.12",446
"135","남성정장","X2015.12",1496
"136","여성정장","X2015.12",1374
"137","내의","X2015.12",1250
"138","한복점","X2015.12",125
"139","캐쥬얼","X2015.12",566
"140","기능복","X2015.12",57
"141","가죽및모피의류","X2015.12",250
"142","세탁소","X2015.12",56
"143","옷감/직물","X2015.12",224
"144","악세서리","X2015.12",397
