Project,Stage,Site,Date,Number,Point,Peak1stG,Peak1stT,Peak1stD,Peak2ndG,Peak2ndT,Peak2ndD,MaxDD,MaxDG,MaxDT,ClipG,T1,T2,Target
E3,B1-sample,Bertrandt,16y.05m.18d,3724,AP07,88.921,1.7,9.252,64.307,7.9,32.317,39.16,32.971,14.375,44.067,5.778,9.259,Pass
E3,B1-sample,Bertrandt,16y.05m.18d,3725,AP08,72.6,1.25,6.839,68.017,10.875,34.256,34.377,62.102,11.475,56.02,8.635,11.76,Pass
E3,B1-sample,Bertrandt,16y.05m.18d,3726,AP11,41.56,1.175,6.435,62.61,11.475,42.722,44.501,43.376,14.225,49.39,9.775,12.80302198,Pass
E3,B1-sample,Bertrandt,16y.05m.18d,3728,AP02,52.022,1.675,9.14,56.392,12.3,47.619,51.329,36.511,16.675,39.044,10.842,14.295,Pass
E3,B3-sample,Bertrandt,17y.02m.07d,4235,AP02,65.488,1.65,9.116,58.189,11.275,44.94,51.279,33.088,17.675,34.134,9.426,12.544,Pass
E3,B3-sample,Bertrandt,17y.02m.07d,4252,AP07,89.608,1.95,10.59,57.065,11.55,41.252,43.356,21.139,15.425,37.775,6.818,10.25,Pass
E3,B3-sample,Bertrandt,17y.02m.07d,4254,AP12,39.193,1.05,5.868,47.381,11.45,46.66,54.024,21.776,18.425,33.928,10.025,13.05121382,Pass
E3,B3-sample,Bertrandt,17y.02m.07d,4262,AP02,60.246,1.975,10.765,44.732,12.125,46.612,54.911,30.217,20.425,31.692,9.259,12.531,Pass
E3,C1-sample,Bertrandt,17y.05m.29d,4517,AP02,53.831,2.1,11.322,55.575,10.375,41.027,46.623,34.232,15.9,36.54,9.675,12.71108871,Pass
E3,C1-sample,Bertrandt,17y.05m.29d,4521,AP07,88.8,1.65,8.827,55.612,6.6,28.419,39.388,21.162,14.625,37.035,5.441,9.928,Pass
E3,C1-sample,Bertrandt,17y.05m.29d,4522,AP07,89.465,1.85,9.972,61.404,11.675,40.186,41.42,29.92,14.3,34.688,8.62,12.645,Pass
E3,C1-sample,Bertrandt,17y.05m.29d,4523,AP08,51.443,3.025,15.658,62.109,11.725,39.708,40.069,50.582,12.9,49.908,8.313,12.95,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4578,AP02,62.784,2.225,12.131,57.138,10.85,41.029,43.478,28.696,14.35,41.26,9.875,12.922,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4579,AP02,61.189,2.65,14.377,48.041,11.25,43.732,47.345,28.714,15.975,37.451,8.823,13.49,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4580,AP12,42.503,1.675,9.261,46.09,11.15,46.66,54.679,34.381,18.1,37.176,9.743,13.003,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4581,AP12,45.154,1.45,7.992,45.911,11.2,46.417,54.956,34.469,18.25,36.564,10.386,13.574,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4582,AP07,81.559,1.525,8.26,59.334,11.6,40.224,41.975,32.679,14.875,36.299,8.731,13.203,Pass
E3,C1-sample,Bertrandt,17y.06m.29d,4583,AP07,89.201,1.625,8.83,54.833,11.35,40.093,42.304,43.191,15.05,34.307,8.906,13.248,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4645,AP02,64.451,1.85,10.033,67.604,12.3,42.169,42.603,44.864,13.55,48.069,10.279,13.369,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4646,AP02,70.086,1.9,10.362,66.048,12.1,41.7,41.975,52.762,13.05,53.853,10.001,13.019,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4647,AP02,56.912,3.95,20.826,66.508,8.675,37.546,41.757,58.976,12.4,56.565,7.35,12.045,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4648,AP12,45.715,1.95,10.583,44.984,18.525,60.24,60.407,36.167,19.4,35.258,16.398,19.568,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4649,AP12,54.282,3.15,16.935,66.579,7.65,34.497,41.537,56.016,12.725,53.175,7.106,10.309,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4650,AP07,93.119,1.375,7.37,55.726,11.15,39.243,41.887,29.933,15.3,32.66,8.129,12.844,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4651,AP07,57.278,3.225,17.344,71.003,8.05,35.961,41.56,61.333,12.35,58.285,7.49,11.028,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4652,AP12,44.349,2.075,11.263,44.934,11.95,49.601,58.285,35.139,19.4,35.968,11.091,14.156,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4653,AP09,54.948,4.6,23.755,66.782,10.3,42.031,45.866,46.433,14.175,46.185,9.436,13.641,Pass
E3,IndexD-sample,Bertrandt,17y.08m.10d,4654,AP07,88.214,1.725,9.25,49.481,6.725,28.799,41.651,27.834,15.7,32.826,9.286,12.656,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4684,AP12,45.596,1.85,10.042,50.929,12.375,50.585,58.337,30.365,19.05,32.959,15.483,18.762,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4685,AP02,63.763,2.275,12.334,69,12.25,42.283,42.635,47.438,13.375,42.126,8.811,13.74,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4686,AP02,63.321,2.575,13.942,58.266,13.4,44.147,44.223,47.153,13.9,40.896,6.876,11.524,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4687,AP02,61.357,2.325,12.562,68.303,12.4,42.889,43.249,52.529,13.5,40.369,9.115,13.894,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4688,AP12,48.009,1.325,7.199,41.338,15.175,54.665,57.244,33.955,19.05,32.638,12.154,16.565,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4689,AP07,88.622,1.8,9.686,59.026,7.375,30.812,40.394,28.297,14.875,31.43,10.378,13.39,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4690,AP07,90.519,2.025,10.877,61.215,11.875,42.241,43.986,32.193,15.15,41.114,9.426,12.914,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4691,AP11,39.241,1.65,8.958,49.414,10.575,41.701,46.351,30.002,15.7,40.689,9.425,12.47105263,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4692,AP11,37.46,2.15,11.482,57.991,10.025,40.503,44.192,37.143,13.975,47.593,6.665,11.073,Pass
E3,IndexE-sample,Bertrandt,17y.09m.18d,4693,AP08,49.022,3.075,15.904,64.691,10.825,39.747,40.997,58.515,12.875,54.352,10.02786797,13.075,Pass
E3,IndexE-sample,Bertrandt,17y.10m.19d,4742,AP02,64.162,2.2,11.791,70.944,12.1,41.466,41.887,46.845,13.325,49.87,9.946,13.169,Pass
E3,IndexE-sample,Bertrandt,17y.10m.19d,4743,AP03,54.972,4.15,21.173,65.333,12.275,39.854,39.879,64.194,12.525,51.802,10.083,13.243,Pass
E3,IndexE-sample,Bertrandt,17y.10m.19d,4744,AP06,46.327,3.1,16.681,53.508,7.625,35.202,46.769,35.312,15.45,37.052,2.66,6.329,Pass
E3,IndexE-sample,Bertrandt,17y.10m.19d,4745,AP13,45.742,3.55,18.719,53.762,9.6,39.857,45.321,44.002,14.45,43.446,11.462,14.47,Pass
E3,IndexE-sample,Bertrandt,17y.10m.19d,4747,AP09,54.987,4.05,21.479,74.056,12,43.269,43.429,66.637,12.65,57.731,9.224,12.819,Pass
E3,IndexE-sample,Bertrandt,17y.12m.05d,4841,AP02,52.791,3.175,17.278,59.016,12.85,49.022,50.366,38.43,15.225,43.694,11.864,14.928,Pass
G2,B3-sample,Bertrandt,15y.08m.05d,3345,AP21,54.076,4.55,24.273,94.354,11.275,46.402,47.989,65.063,13.4,65.174,9.95,12.99995552,Fail
G2,B3-sample,Bertrandt,15y.08m.05d,3348,AP19,49.232,3.45,18.634,80.805,12.35,47.439,47.795,65.14,13.35,61.486,10.625,13.65071429,Pass
G2,B3-sample,Bertrandt,15y.08m.14d,3363,AP22,57.988,1.425,7.801,91.232,8.8,36.633,40.134,34.359,12.75,49.417,7.126825613,10.175,Pass
G2,B3-sample,Bertrandt,15y.08m.14d,3366,AP23,56.066,1.35,7.398,91.995,8.775,35.382,37.463,70.552,11.1,74.133,7.534,10.849,Fail
G2,B3-sample,Bertrandt,15y.09m.28d,3397,AP21,58.129,3.025,15.887,72.417,11.1,38.47,38.968,57.599,12.375,49.589,9.875,12.90211268,Pass
G2,B3-sample,Bertrandt,15y.09m.28d,3399,AP19,28.513,4.45,23.432,83.908,12.05,47.668,48.197,52.483,13.375,61.039,9.525,12.56746862,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3421,AP21,35.725,4.6,24.968,86.563,8.5,39.841,48.762,27.437,15.725,47.048,7.720026331,10.75,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3422,AP21,40.831,2.975,16.395,76.23,8.325,39.511,49.332,33.937,14.875,56.101,7.876,11.683,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3423,AP21,48.163,3.25,17.592,51.816,8.85,40.722,59.698,12.496,22.05,30.555,8.011129321,11.05,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3424,AP22,37.649,2.825,14.986,63.48,10.1,41.961,47.974,24.878,16.05,44.365,9.210216718,12.475,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3425,AP22,45.292,1.9,10.434,57.085,8.85,38.636,46.732,42.327,14.7,50.895,8.64,12.39,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3426,AP22,50.167,1.85,10.196,48.218,17.75,63.872,67.946,32.789,22.975,33.584,8.528250774,11.575,Pass
G2,C1-sample,Bertrandt,15y.10m.20d,3427,AP21,75.172,1.125,6.066,57.653,10.5,36.091,38.166,50.871,13.55,45.059,7.659,11.473,Pass
G2,C1-sample,Bertrandt,15y.11m.13d,3433,AP21,211.806,0.7,3.953,60.444,7.475,29.017,39.617,32.834,15.95,25.959,8.47,11.5,Pass
G2,C1-sample,Bertrandt,15y.11m.13d,3434,AP21,205.674,1.15,6.427,77.782,5.225,35.996,37.124,16.178,14.45,32.593,7.071,11.648,Pass
G2,C1-sample,Bertrandt,15y.11m.23d,3443,AP23,58.155,1.6,8.599,61.675,10.9,33.335,33.462,59.868,11.525,49.175,10.15,13.17591442,Pass
G2,C1-sample,Bertrandt,15y.11m.23d,3444,AP23,58.788,1.525,8.246,52.317,8.875,35.342,44.111,23.235,16.925,39.828,7.655,11.098,Pass
G2,C1-sample,Bertrandt,15y.11m.23d,3445,AP23,58.153,1.5,8.106,72.133,11.35,35.996,36.093,63.397,11.875,52.882,9.109,12.288,Pass
G2,C1-sample,Bertrandt,15y.12m.15d,3498,AP21,56.953,3.625,18.948,87.945,8.6,35.449,38.003,57.955,11.575,59.24,7.04,10.191,Pass
G2,C1-sample,Bertrandt,15y.12m.15d,3500,AP22,50.254,1.35,24.907,76.807,9.775,37.667,39.501,61.551,12.1,64.129,8.752462121,11.8,Fail
