업종,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12
유아복,185,197,183,196,205,153,149,166,207,194,193,176
아동복,400,399,532,455,543,363,285,204,652,452,516,446
남성정장,1122,934,1154,1523,1705,1089,989,572,1153,1239,1618,1496
여성정장,1141,1079,1313,1381,1497,1011,919,694,1107,1069,1521,1374
내의,968,905,1125,1122,1298,968,937,817,1025,1167,1307,1250
한복점,125,137,166,154,139,97,113,130,191,157,151,125
캐쥬얼,554,500,577,599,670,453,391,321,483,528,637,566
기능복,102,1047,146,198,659,51,22,43,116,64,78,57
가죽및모피의류,256,215,79,47,48,73,35,121,82,138,173,250
세탁소,38,33,61,100,85,61,32,28,36,36,51,56
옷감/직물,254,209,281,276,245,218,218,223,281,244,291,224
악세서리,230,261,288,286,328,267,288,270,289,275,279,397
